Timestamp,Physical_Core,CCD,Hashrate_H/s,Freq,CCD_Temp
1749658934,0,0,1544.69,5434,71.8
1749658939,0,0,1552.29,5449,72.1
1749658944,0,0,1553.03,5443,73.5
1749658949,0,0,1553.55,5474,71.8
1749658954,0,0,1552.66,5450,72.6
1749658959,0,0,1552.77,5450,71.2
1749658964,0,0,1557.07,5450,71.8
1749658969,0,0,1558.26,5474,70.9
1749658975,0,0,1557.74,5448,71.8
1749658980,0,0,1558.12,5475,71.8
1749658985,0,0,1559.17,5475,71.8
1749658990,0,0,1559.05,5475,72.1
1749658995,0,0,1559.47,5442,71.8
1749659000,0,0,1559.92,5475,72.1
1749659005,0,0,1559.52,5475,72.1
1749659010,0,0,1559.38,5475,72.6
1749659015,0,0,1560.12,5474,72.1
1749659020,0,0,1560.2,5475,71.8
1749659025,0,0,1560.19,5475,71.8
1749659030,0,0,1560.25,5475,70.9
1749659035,0,0,1559.65,5450,71.8
1749659040,0,0,1559.48,5475,71.8
1749659045,0,0,1559.31,5475,71.8
1749659050,0,0,1559.37,5474,72.1
1749659055,0,0,1559.33,5475,72.1
1749659061,0,0,1559.07,5474,71.8
1749659066,0,0,1559.35,5475,72.6
1749659071,0,0,1559.94,5474,71.8
1749659076,0,0,1560.48,5475,71.8
1749659081,0,0,1559.72,5474,71.8
1749659086,0,0,1558.79,5474,71.2
1749659091,0,0,1559.06,5474,71.8
1749659096,0,0,1558.86,5439,72.6
1749659101,0,0,1558.8,5475,70.9
1749659106,0,0,1559.22,5474,71.2
1749659111,0,0,1559.81,5475,70.9
1749659116,0,0,1560.2,5434,72.1
1749659121,0,0,1559.63,5474,71.2
1749659126,0,0,1560.47,5443,71.2
1749659131,0,0,1560.58,5475,72.6
1749659136,0,0,1560.39,5475,71.8
1749659141,0,0,1561.26,5475,71.8
1749659147,0,0,1561.23,5475,71.8
1749659152,0,0,1561.7,5450,72.1
1749659157,0,0,1560.33,5475,71.2
1749659162,0,0,1559.76,5475,71.2
1749659167,0,0,1560.24,5474,72.1
1749659172,0,0,1560.38,5475,70.9
1749659177,0,0,1559.91,5475,71.8
1749659182,0,0,1560.78,5474,72.6
1749659187,0,0,1560.87,5452,72.1
1749659192,0,0,1560.79,5475,72.6
1749659197,0,0,1560.54,5474,72.1
1749659202,0,0,1560.93,5474,70.9
1749659207,0,0,1560.59,5475,71.2
1749659212,0,0,1560.42,5474,71.8
1749659217,0,0,1560.58,5475,70.4
1749659222,0,0,1560.68,5475,71.8
1749659227,0,0,1560.27,5474,71.8
1749659232,0,0,1559.6,5434,71.8
1749659238,0,0,1559.79,5474,71.8
1749659243,0,0,1560.37,5474,72.6
1749659248,0,0,1560.05,5475,71.8
1749659253,0,0,1560.26,5474,71.8
1749659258,0,0,1555.32,5475,71.8
1749659263,0,0,1553.07,5474,71.8
1749659268,0,0,1554.77,5450,70.9
1749659273,0,0,1551.45,5475,71.2
1749659278,0,0,1551.12,5475,71.2
1749659283,0,0,1551.37,5475,71.2
1749659288,0,0,1551.52,5450,70.9
1749659293,0,0,1550.99,5475,72.1
1749659298,0,0,1550.68,5475,71.8
1749659303,0,0,1550.91,5474,71.8
1749659308,0,0,1550.51,5474,71.2
1749659313,0,0,1550.63,5474,71.2
1749659318,0,0,1550.45,5474,70.9
1749659324,0,0,1551.11,5475,71.8
1749659329,0,0,1551.79,5475,71.2
1749659334,0,0,1551.68,5475,72.1
1749659339,0,0,1550.58,5475,70.9
1749659344,0,0,1549.71,5475,72.1
1749659349,0,0,1550.63,5474,72.1
1749659354,0,0,1551.89,5475,71.8
1749659359,0,0,1552.04,5475,70.9
1749659364,0,0,1551.96,5474,70.9
1749659369,0,0,1551.94,5475,70.4
1749659374,0,0,1552.26,5475,70.4
1749659379,0,0,1552.0,5475,74.0
1749659384,0,0,1551.39,5475,71.8
1749659389,0,0,1551.56,5458,71.2
1749659394,0,0,1551.74,5475,71.8
1749659399,0,0,1550.95,5473,71.2
1749659404,0,0,1550.15,5475,71.2
1749659410,0,0,1550.94,5475,70.9
1749659415,0,0,1552.09,5475,71.2
1749659420,0,0,1551.65,5474,71.8
1749659425,0,0,1550.61,5474,71.8
1749659430,0,0,1550.76,5475,71.2
1749659435,0,0,1550.72,5474,71.8
1749659440,0,0,1550.45,5444,72.6
1749659445,0,0,1551.23,5474,71.8
1749659450,0,0,1551.74,5474,71.8
1749659455,0,0,1551.1,5475,71.2
1749659460,0,0,1550.48,5474,70.4
1749659465,0,0,1551.18,5474,70.9
1749659470,0,0,1550.58,5475,70.4
1749659475,0,0,1549.93,5475,72.6
